file,length,cluster
./data\one\one-029.json,0.9009,32
./data\one\one-039.json,2.0020000000000002,32
./data\seven\seven-006.json,2.9029000000000003,32
./data\seven\seven-013.json,1.7017,32
./data\seven\seven-018.json,1.8351666666666666,32
./data\seven\seven-022.json,0.7007,32
./data\seven\seven-027.json,1.0677333333333334,32
./data\seven\seven-028.json,1.4681333333333333,32
./data\seven\seven-031.json,3.9039,32
./data\seven\seven-036.json,1.3680333333333334,32
./data\three\three-022.json,2.6359666666666666,32
./data\three\three-035.json,2.2022,32
./data\two\two-047.json,0.6339666666666667,32
./data\six\six-094.json,2.1021,33
./data\five\five-033.json,3.069733333333333,34
./data\five\five-064.json,1.8351666666666666,34
./data\eight\eight-128.json,0.9342666666666667,35
./data\eight\eight-038.json,1.1344666666666667,36
./data\eight\eight-042.json,0.6006,36
./data\eight\eight-024.json,0.9009,37
./data\eight\eight-026.json,0.9676333333333333,37
./data\eight\eight-066.json,1.6016000000000001,37
./data\eight\eight-123.json,0.9342666666666667,37
./data\five\five-022.json,0.8341666666666667,38
./data\five\five-034.json,1.4014,38
./data\two\two-028.json,1.8018,39
./data\two\two-030.json,3.1698333333333335,39
./data\eight\eight-113.json,1.3680333333333334,40
./data\eight\eight-087.json,3.2699333333333334,41
./data\five\five-003.json,3.7370666666666668,41
./data\five\five-009.json,2.4024,41
./data\five\five-037.json,3.4034,41
./data\five\five-049.json,1.4681333333333333,41
./data\six\six-031.json,1.0010000000000001,41
./data\six\six-075.json,1.8351666666666666,41
./data\eight\eight-023.json,2.9362666666666666,42
./data\eight\eight-030.json,1.9686333333333335,42
./data\eight\eight-031.json,2.3356666666666666,42
./data\eight\eight-033.json,0.6006,42
./data\eight\eight-037.json,0.6006,42
./data\eight\eight-072.json,0.8675333333333334,42
./data\eight\eight-095.json,2.2689333333333335,42
./data\four\four-052.json,1.72,42
./data\four\four-056.json,1.0,42
./data\four\four-075.json,1.96,42
./data\four\four-101.json,2.36,42
./data\six\six-004.json,1.2679333333333334,42
./data\six\six-103.json,3.636966666666667,42
./data\six\six-090.json,2.7027,43
./data\six\six-092.json,0.7007,43
./data\six\six-093.json,0.6006,43
./data\four\four-055.json,0.8,44
./data\four\four-061.json,1.08,44
./data\four\four-111.json,0.68,44
./data\eight\eight-014.json,2.8028,45
./data\eight\eight-020.json,2.0353666666666665,45
./data\eight\eight-021.json,0.5005000000000001,45
./data\eight\eight-022.json,1.1011,45
./data\eight\eight-025.json,0.8008000000000001,45
./data\eight\eight-043.json,3.8705333333333334,45
./data\eight\eight-044.json,0.9676333333333333,45
./data\eight\eight-047.json,1.1344666666666667,45
./data\eight\eight-062.json,1.5348666666666666,45
./data\eight\eight-067.json,2.0353666666666665,45
./data\eight\eight-070.json,1.9686333333333335,45
./data\eight\eight-086.json,2.3690333333333333,45
./data\eight\eight-115.json,0.8008000000000001,45
./data\eight\eight-118.json,1.5348666666666666,45
./data\eight\eight-134.json,3.3033,45
./data\four\four-005.json,2.2,45
./data\four\four-009.json,2.64,45
./data\four\four-017.json,1.24,45
./data\four\four-018.json,1.88,45
./data\four\four-029.json,3.08,45
./data\four\four-041.json,1.04,45
./data\four\four-044.json,2.72,45
./data\four\four-059.json,1.8,45
./data\four\four-060.json,1.28,45
./data\four\four-062.json,2.4,45
./data\four\four-066.json,1.2,45
./data\four\four-067.json,2.16,45
./data\four\four-071.json,2.84,45
./data\four\four-079.json,2.04,45
./data\four\four-084.json,3.48,45
./data\four\four-085.json,2.4,45
./data\four\four-089.json,1.16,45
./data\four\four-094.json,0.88,45
./data\four\four-102.json,2.36,45
./data\four\four-110.json,1.44,45
./data\four\four-114.json,3.52,45
./data\four\four-115.json,2.96,45
./data\four\four-117.json,0.84,45
./data\six\six-001.json,3.4367666666666667,45
./data\six\six-054.json,1.0010000000000001,45
./data\eight\eight-061.json,2.6359666666666666,46
./data\eight\eight-076.json,2.769433333333333,46
./data\eight\eight-098.json,1.4347666666666667,46
./data\eight\eight-100.json,2.0687333333333333,46
./data\eight\eight-102.json,1.9352666666666667,46
./data\eight\eight-107.json,2.3356666666666666,46
./data\five\five-015.json,4.137466666666667,47
./data\five\five-017.json,3.6703333333333332,47
./data\five\five-019.json,1.6683333333333334,47
./data\five\five-020.json,0.8675333333333334,47
./data\five\five-023.json,1.5682333333333334,47
./data\five\five-024.json,0.8008000000000001,47
./data\five\five-035.json,1.4347666666666667,47
./data\five\five-045.json,1.9686333333333335,47
./data\five\five-052.json,3.1698333333333335,47
./data\five\five-069.json,0.7340666666666666,47
./data\five\five-074.json,3.5035000000000003,47
./data\five\five-080.json,4.170833333333333,47
./data\eight\eight-122.json,0.8675333333333334,48
./data\six\six-043.json,3.1031,49
./data\six\six-073.json,2.2689333333333335,49
./data\six\six-098.json,2.9029000000000003,49
./data\five\five-059.json,3.6703333333333332,50
./data\six\six-015.json,3.8705333333333334,50
./data\eight\eight-085.json,3.4367666666666667,51
./data\eight\eight-092.json,1.2012,51
./data\four\four-014.json,1.04,51
./data\four\four-047.json,4.76,51
./data\six\six-022.json,2.8361666666666667,51
./data\eight\eight-032.json,2.0353666666666665,52
./data\fifteen\fifteen-016.json,3.069733333333333,53
./data\fifteen\fifteen-017.json,0.5338666666666667,53
./data\six\six-009.json,1.9352666666666667,53
./data\six\six-020.json,0.5672333333333334,53
./data\six\six-027.json,2.0353666666666665,53
./data\six\six-040.json,1.1344666666666667,53
./data\six\six-049.json,0.9009,53
./data\six\six-066.json,0.8675333333333334,53
./data\six\six-067.json,0.8341666666666667,53
./data\six\six-076.json,1.2012,53
./data\six\six-091.json,0.8341666666666667,53
./data\three\three-049.json,2.8361666666666667,54
./data\three\three-055.json,3.3033,54
./data\three\three-056.json,2.8695333333333335,54
./data\three\three-057.json,3.4701333333333335,54
./data\three\three-064.json,3.1031,54
./data\five\five-012.json,3.636966666666667,55
./data\five\five-016.json,2.469133333333333,55
./data\five\five-041.json,1.1011,55
./data\five\five-055.json,4.137466666666667,55
./data\five\five-057.json,2.3690333333333333,55
./data\eight\eight-018.json,3.7370666666666668,56
./data\eight\eight-034.json,1.0677333333333334,56
./data\eight\eight-053.json,0.5005000000000001,56
./data\eight\eight-055.json,0.5005000000000001,56
./data\six\six-002.json,2.8028,56
./data\six\six-003.json,3.069733333333333,56
./data\eight\eight-054.json,2.0353666666666665,57
./data\eight\eight-126.json,1.0010000000000001,57
./data\four\four-082.json,1.4,57
./data\four\four-083.json,2.52,57
./data\two\two-015.json,3.5702333333333334,57
./data\two\two-024.json,4.170833333333333,57
./data\two\two-026.json,2.5025,57
./data\two\two-058.json,2.736066666666667,58
./data\eight\eight-045.json,1.5682333333333334,59
./data\eight\eight-079.json,2.168833333333333,59
./data\fifteen\fifteen-028.json,1.4014,59
./data\four\four-003.json,0.96,59
./data\thirteen\thirteen-012.json,1.5015,59
./data\fifteen\fifteen-002.json,0.5672333333333334,60
./data\fifteen\fifteen-003.json,0.5005000000000001,60
./data\fifteen\fifteen-006.json,0.5005000000000001,60
./data\fifteen\fifteen-020.json,0.5338666666666667,60
./data\fifteen\fifteen-021.json,0.6006,60
./data\fifteen\fifteen-022.json,1.3013000000000001,60
./data\fifteen\fifteen-023.json,1.2345666666666666,60
./data\fifteen\fifteen-024.json,0.7007,60
./data\fifteen\fifteen-026.json,1.0010000000000001,60
./data\eight\eight-050.json,1.4681333333333333,61
./data\eight\eight-004.json,1.8685333333333334,62
./data\eight\eight-108.json,2.0353666666666665,62
./data\two\two-025.json,3.2032000000000003,62
./data\eight\eight-017.json,1.7017,63
./data\eight\eight-089.json,1.9352666666666667,63
./data\fifteen\fifteen-004.json,0.5005000000000001,63
./data\seven\seven-021.json,0.7007,63
./data\seven\seven-023.json,0.7340666666666666,63
./data\seven\seven-039.json,1.0010000000000001,63
./data\six\six-010.json,3.8371666666666666,63
./data\six\six-080.json,2.1021,63
./data\six\six-082.json,1.2679333333333334,63
./data\six\six-084.json,1.9019,63
./data\two\two-002.json,1.6683333333333334,63
./data\two\two-004.json,2.7027,63
./data\two\two-017.json,3.036366666666667,63
./data\two\two-018.json,2.736066666666667,63
./data\two\two-029.json,2.8028,63
./data\two\two-034.json,1.6016000000000001,63
./data\two\two-035.json,2.6693333333333333,63
./data\two\two-036.json,0.5672333333333334,63
./data\eight\eight-006.json,2.3023000000000002,64
./data\fifteen\fifteen-015.json,0.8008000000000001,64
./data\six\six-014.json,1.4681333333333333,64
./data\six\six-017.json,1.2679333333333334,64
./data\six\six-025.json,2.736066666666667,64
./data\six\six-059.json,2.469133333333333,64
./data\six\six-060.json,2.435766666666667,64
./data\six\six-065.json,0.9009,64
./data\six\six-081.json,1.9019,64
./data\six\six-083.json,1.4014,64
./data\six\six-085.json,2.5025,64
./data\eleven\eleven-002.json,1.2333333333333334,65
./data\fifteen\fifteen-009.json,1.0677333333333334,65
./data\fifteen\fifteen-027.json,1.4681333333333333,65
./data\fifteen\fifteen-029.json,2.2022,65
./data\six\six-034.json,0.6006,65
./data\six\six-063.json,1.5015,65
./data\six\six-078.json,1.4014,65
./data\thirteen\thirteen-002.json,1.2012,65
./data\thirteen\thirteen-017.json,0.9009,65
./data\thirteen\thirteen-018.json,0.6339666666666667,65
./data\eight\eight-106.json,2.469133333333333,66
./data\fifteen\fifteen-014.json,0.5338666666666667,67
./data\four\four-004.json,0.8,67
./data\four\four-097.json,0.6,67
./data\six\six-007.json,3.336666666666667,67
./data\six\six-011.json,3.9039,67
./data\six\six-018.json,1.6349666666666667,67
./data\six\six-026.json,1.1011,67
./data\six\six-056.json,1.3680333333333334,67
./data\eight\eight-008.json,2.6693333333333333,68
./data\eight\eight-015.json,3.1031,68
./data\four\four-016.json,1.04,68
./data\four\four-034.json,0.6,68
./data\four\four-046.json,1.32,68
./data\four\four-054.json,1.6,68
./data\four\four-058.json,0.64,68
./data\eight\eight-091.json,0.6006,69
./data\eight\eight-119.json,2.2355666666666667,69
./data\four\four-010.json,1.32,69
./data\four\four-020.json,1.08,69
./data\four\four-022.json,0.64,69
./data\four\four-045.json,0.68,69
./data\four\four-065.json,1.8,69
./data\four\four-070.json,1.0,69
./data\four\four-073.json,0.72,69
./data\four\four-074.json,4.84,69
./data\four\four-090.json,0.84,69
./data\four\four-092.json,1.56,69
./data\four\four-103.json,1.56,69
./data\four\four-107.json,1.08,69
./data\fifteen\fifteen-011.json,0.5005000000000001,70
./data\five\five-048.json,2.0687333333333333,70
./data\seven\seven-007.json,2.3356666666666666,71
./data\seven\seven-017.json,0.5005000000000001,71
./data\seven\seven-025.json,0.7674333333333333,71
./data\two\two-010.json,2.5692333333333335,72
./data\two\two-023.json,3.7370666666666668,72
./data\two\two-040.json,1.7350666666666668,72
./data\two\two-042.json,0.7007,72
./data\two\two-043.json,2.5692333333333335,72
./data\four\four-011.json,0.6,73
./data\four\four-112.json,0.6,73
./data\three\three-003.json,2.6026000000000002,74
./data\three\three-011.json,1.1678333333333333,74
./data\three\three-018.json,2.135466666666667,74
./data\three\three-028.json,1.4347666666666667,74
./data\three\three-029.json,1.7017,74
./data\three\three-036.json,3.9706333333333332,74
./data\three\three-040.json,1.8018,74
./data\three\three-044.json,2.3023000000000002,74
./data\three\three-046.json,1.9019,74
./data\three\three-058.json,4.137466666666667,74
./data\three\three-063.json,2.9362666666666666,74
./data\eight\eight-013.json,2.2355666666666667,75
./data\eight\eight-111.json,3.1698333333333335,75
./data\eight\eight-117.json,1.5015,75
./data\eight\eight-125.json,1.0677333333333334,75
./data\eight\eight-129.json,0.9009,75
./data\eight\eight-132.json,1.6349666666666667,75
./data\six\six-055.json,3.6036,76
./data\six\six-097.json,2.9696333333333333,76
./data\seven\seven-009.json,0.9009,77
./data\three\three-002.json,2.7027,77
./data\three\three-008.json,2.9696333333333333,77
./data\three\three-009.json,1.5348666666666666,77
./data\three\three-024.json,3.5702333333333334,77
./data\three\three-045.json,3.8705333333333334,77
./data\seven\seven-004.json,2.7027,78
./data\seven\seven-029.json,0.8008000000000001,78
./data\four\four-068.json,1.88,79
./data\four\four-069.json,1.0,79
./data\four\four-072.json,1.28,79
./data\two\two-027.json,2.5025,80
./data\eight\eight-065.json,2.0687333333333333,81
./data\eight\eight-084.json,2.0687333333333333,81
./data\four\four-012.json,1.24,81
./data\four\four-024.json,2.76,81
./data\four\four-053.json,0.68,81
./data\four\four-077.json,3.44,81
./data\four\four-078.json,1.56,81
./data\four\four-087.json,4.96,81
./data\four\four-091.json,5.0,81
./data\four\four-095.json,3.28,81
./data\four\four-098.json,0.84,81
./data\four\four-105.json,2.88,81
./data\eight\eight-029.json,1.1678333333333333,82
./data\eight\eight-093.json,1.6016000000000001,82
./data\eight\eight-121.json,2.6359666666666666,82
./data\four\four-033.json,1.2,83
./data\seven\seven-011.json,2.9029000000000003,83
./data\seven\seven-012.json,1.7684333333333333,83
./data\seven\seven-030.json,2.135466666666667,83
./data\two\two-021.json,1.1011,83
./data\two\two-022.json,1.6683333333333334,83
./data\two\two-051.json,1.8685333333333334,83
./data\eight\eight-009.json,1.1011,84
./data\eight\eight-010.json,1.1011,84
./data\eight\eight-011.json,2.736066666666667,84
./data\eight\eight-019.json,1.6349666666666667,84
./data\eight\eight-036.json,1.1678333333333333,84
./data\eight\eight-046.json,1.8018,84
./data\eight\eight-074.json,2.2355666666666667,84
./data\eight\eight-090.json,2.1021,84
./data\eight\eight-114.json,1.1011,84
./data\eight\eight-116.json,0.7007,84
./data\four\four-013.json,1.16,84
./data\four\four-015.json,0.92,84
./data\four\four-030.json,2.32,84
./data\four\four-038.json,0.84,84
./data\four\four-080.json,1.56,84
./data\four\four-108.json,0.96,84
./data\four\four-021.json,0.76,85
./data\four\four-063.json,1.44,85
./data\four\four-081.json,1.96,85
./data\four\four-099.json,3.28,85
./data\four\four-109.json,0.72,85
./data\five\five-021.json,0.7007,86
./data\five\five-040.json,1.0343666666666667,86
./data\five\five-046.json,3.336666666666667,86
./data\five\five-051.json,0.9342666666666667,86
./data\five\five-070.json,0.5338666666666667,86
./data\six\six-029.json,1.8351666666666666,86
./data\six\six-036.json,1.7350666666666668,86
./data\six\six-046.json,0.7007,86
./data\six\six-048.json,0.7340666666666666,86
./data\six\six-077.json,0.6339666666666667,86
./data\eight\eight-094.json,0.8675333333333334,87
./data\eight\eight-124.json,0.9342666666666667,87
./data\eight\eight-130.json,0.9676333333333333,87
./data\five\five-010.json,1.5015,87
./data\five\five-011.json,3.8371666666666666,87
./data\one\one-024.json,3.003,87
./data\one\one-048.json,0.6673333333333333,87
./data\thirteen\thirteen-004.json,1.8351666666666666,87
./data\three\three-016.json,2.0353666666666665,87
./data\two\two-001.json,3.069733333333333,87
./data\two\two-046.json,0.8675333333333334,87
./data\two\two-049.json,3.6703333333333332,87
./data\two\two-054.json,4.170833333333333,87
./data\eight\eight-002.json,3.069733333333333,88
./data\eight\eight-040.json,0.9009,88
./data\eight\eight-059.json,4.137466666666667,88
./data\eight\eight-064.json,3.336666666666667,88
./data\eight\eight-083.json,3.6036,88
./data\eight\eight-096.json,1.7017,88
./data\fourteen\fourteen-001.json,3.6703333333333332,88
./data\fourteen\fourteen-002.json,3.2699333333333334,88
./data\six\six-061.json,1.2679333333333334,88
./data\ten\ten-005.json,0.8008000000000001,88
./data\tweleve\tweleve-001.json,3.6703333333333332,88
./data\tweleve\tweleve-002.json,3.2699333333333334,88
./data\eight\eight-127.json,0.9342666666666667,89
